Rk,G,Date,H_A,Opp_Team,W_L,Tm,Opp,FG,FGA,FGper,3P,3PA,3Pper,FT,FTA,FTper,ORB,TRB,AST,STL,BLK,TOV,PF,Blank,Opp_FG,Opp_FGA,Opp_FGper,Opp_3P,Opp_3PA,Opp_3Pper,Opp_FT,Opp_FTA,Opp_FTper,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,nba_season,gamelog_team
18,18,2021-11-22,@,MIL,L,92,123,34,93,.366,11,41,.268,13,18,.722,15,47,16,6,4,15,17,NA,44,94,.468,18,45,.400,17,24,.708,13,55,28,10,7,12,22,2022,ORL
19,19,2021-11-24,,CHO,L,99,106,38,93,.409,15,42,.357,8,10,.800,10,51,23,5,1,14,19,NA,39,93,.419,12,40,.300,16,21,.762,12,49,26,11,11,10,16,2022,ORL
20,20,2021-11-26,,CHI,L,88,123,30,80,.375,7,32,.219,21,30,.700,5,36,18,7,5,13,16,NA,48,86,.558,17,34,.500,10,16,.625,6,47,32,11,1,13,24,2022,ORL
21,21,2021-11-27,@,CLE,L,92,105,35,88,.398,8,32,.250,14,23,.609,8,43,21,11,5,8,16,NA,41,90,.456,14,39,.359,9,12,.750,10,51,28,3,9,13,18,2022,ORL
22,22,2021-11-29,@,PHI,L,96,101,37,90,.411,8,33,.242,14,18,.778,8,55,20,7,6,12,21,NA,39,97,.402,10,33,.303,13,18,.722,12,55,24,7,6,10,19,2022,ORL
23,23,2021-12-01,,DEN,W,108,103,44,81,.543,6,27,.222,14,19,.737,1,39,26,8,6,12,15,NA,39,80,.488,10,34,.294,15,21,.714,1,35,22,5,4,14,19,2022,ORL
24,24,2021-12-03,@,HOU,L,116,118,42,86,.488,13,37,.351,19,21,.905,10,45,24,6,4,18,21,NA,44,92,.478,17,47,.362,13,15,.867,7,35,33,7,5,10,16,2022,ORL
25,25,2021-12-06,@,GSW,L,95,126,33,76,.434,11,38,.289,18,22,.818,5,38,18,10,4,22,20,NA,43,87,.494,20,40,.500,20,29,.690,7,43,28,15,2,15,19,2022,ORL
26,26,2021-12-08,@,SAC,L,130,142,48,97,.495,16,34,.471,18,23,.783,17,43,29,2,5,12,18,NA,53,97,.546,15,34,.441,21,25,.840,12,43,24,8,7,8,22,2022,ORL
27,27,2021-12-11,@,LAC,L,104,106,35,80,.438,12,33,.364,22,24,.917,10,45,21,4,5,11,11,NA,42,92,.457,18,36,.500,4,6,.667,12,45,27,7,1,7,17,2022,ORL
28,28,2021-12-12,@,LAL,L,94,106,33,88,.375,13,38,.342,15,19,.789,14,47,17,6,4,18,13,NA,41,84,.488,13,28,.464,11,17,.647,6,44,24,12,11,13,17,2022,ORL
29,29,2021-12-15,,ATL,L,99,111,35,90,.389,10,35,.286,19,21,.905,12,46,25,4,2,16,17,NA,42,85,.494,11,31,.355,16,16,1.000,6,40,25,11,5,13,16,2022,ORL
30,30,2021-12-17,,MIA,L,105,115,43,89,.483,11,32,.344,8,10,.800,9,36,23,10,5,11,19,NA,41,82,.500,19,35,.543,14,19,.737,14,46,25,5,5,15,14,2022,ORL
31,31,2021-12-18,@,BRK,W,100,93,39,94,.415,10,31,.323,12,13,.923,12,50,20,6,4,16,14,NA,39,102,.382,9,46,.196,6,8,.750,16,51,24,8,8,15,14,2022,ORL
32,32,2021-12-22,@,ATL,W,104,98,38,85,.447,11,37,.297,17,23,.739,8,40,27,11,5,10,24,NA,32,80,.400,12,31,.387,22,29,.759,13,49,21,4,8,14,19,2022,ORL
33,33,2021-12-23,,NOP,L,104,110,38,88,.432,9,32,.281,19,21,.905,10,44,19,6,11,8,26,NA,37,86,.430,13,30,.433,23,26,.885,12,46,21,4,2,10,13,2022,ORL
34,34,2021-12-26,@,MIA,L,83,93,31,72,.431,10,32,.313,11,17,.647,8,43,17,6,4,18,19,NA,36,89,.404,10,34,.294,11,18,.611,20,51,28,7,1,13,19,2022,ORL
35,35,2021-12-28,,MIL,L,110,127,38,83,.458,12,39,.308,22,26,.846,7,37,24,7,4,13,25,NA,47,85,.553,17,37,.459,16,22,.727,7,40,31,4,3,12,20,2022,ORL
36,36,2021-12-30,,MIL,L,118,136,42,87,.483,13,36,.361,21,27,.778,6,33,26,5,1,10,26,NA,45,91,.495,13,33,.394,33,36,.917,14,50,24,7,6,13,19,2022,ORL
37,37,2022-01-02,@,BOS,L,111,116,40,95,.421,9,27,.333,22,27,.815,10,45,17,12,3,14,24,NA,39,86,.453,13,36,.361,25,28,.893,9,46,25,5,10,21,23,2022,ORL
38,38,2022-01-03,@,CHI,L,98,102,36,85,.424,10,27,.370,16,18,.889,5,44,24,5,2,13,17,NA,37,86,.430,11,31,.355,17,23,.739,10,49,17,10,4,13,16,2022,ORL
39,39,2022-01-05,,PHI,L,106,116,40,90,.444,12,39,.308,14,20,.700,14,47,22,9,3,19,30,NA,43,85,.506,12,28,.429,18,24,.750,10,42,26,8,4,15,16,2022,ORL
40,40,2022-01-08,@,DET,L,92,97,29,86,.337,14,46,.304,20,23,.870,8,44,25,6,9,12,20,NA,38,87,.437,10,33,.303,11,16,.688,7,49,23,7,6,12,21,2022,ORL
41,41,2022-01-09,,WAS,L,100,102,38,95,.400,9,28,.321,15,16,.938,9,42,18,9,6,7,21,NA,36,88,.409,11,29,.379,19,24,.792,12,54,23,1,6,12,21,2022,ORL
42,42,2022-01-12,@,WAS,L,106,112,41,99,.414,11,35,.314,13,16,.813,18,49,31,6,6,9,16,NA,43,82,.524,10,31,.323,16,21,.762,6,42,26,6,4,10,14,2022,ORL
43,43,2022-01-14,@,CHO,W,116,109,45,87,.517,15,45,.333,11,15,.733,4,43,32,9,4,19,18,NA,40,97,.412,12,42,.286,17,21,.810,11,44,28,9,5,16,20,2022,ORL
44,44,2022-01-15,@,DAL,L,92,108,37,77,.481,7,26,.269,11,16,.688,5,37,16,7,3,15,26,NA,32,78,.410,12,34,.353,32,38,.842,12,47,16,6,3,9,18,2022,ORL
45,45,2022-01-17,,POR,L,88,98,34,90,.378,8,32,.250,12,20,.600,10,50,21,9,7,16,15,NA,37,90,.411,7,34,.206,17,18,.944,11,55,20,9,8,17,17,2022,ORL
46,46,2022-01-19,@,PHI,L,110,123,40,90,.444,18,35,.514,12,16,.750,9,43,26,4,4,11,19,NA,45,83,.542,10,28,.357,23,27,.852,6,44,21,7,8,9,15,2022,ORL
47,47,2022-01-21,,LAL,L,105,116,36,81,.444,11,40,.275,22,29,.759,3,35,23,6,9,17,21,NA,42,85,.494,13,30,.433,19,23,.826,8,45,23,12,4,18,24,2022,ORL
48,48,2022-01-23,,CHI,W,114,95,42,80,.525,12,26,.462,18,23,.783,3,35,31,7,8,12,25,NA,33,76,.434,5,21,.238,24,32,.750,11,44,10,3,4,21,22,2022,ORL
49,49,2022-01-26,,LAC,L,102,111,38,84,.452,9,35,.257,17,22,.773,8,39,29,9,3,13,23,NA,36,81,.444,15,29,.517,24,27,.889,8,49,20,7,1,15,22,2022,ORL
50,50,2022-01-28,,DET,W,119,103,41,83,.494,12,25,.480,25,26,.962,8,47,28,5,7,15,22,NA,32,87,.368,10,29,.345,29,37,.784,14,41,23,10,9,10,24,2022,ORL
51,51,2022-01-30,,DAL,W,110,108,43,84,.512,11,34,.324,13,16,.813,9,40,26,8,1,16,16,NA,39,81,.481,16,38,.421,14,18,.778,7,40,22,9,4,18,19,2022,ORL
52,52,2022-02-01,@,CHI,L,115,126,46,93,.495,14,39,.359,9,11,.818,3,36,33,7,4,9,18,NA,46,90,.511,11,30,.367,23,29,.793,11,49,25,5,6,9,15,2022,ORL
53,53,2022-02-02,@,IND,W,119,118,42,95,.442,11,35,.314,24,26,.923,9,52,29,5,3,12,21,NA,44,98,.449,14,32,.438,16,23,.696,7,46,25,7,1,8,19,2022,ORL
54,54,2022-02-05,,MEM,L,115,135,39,90,.433,17,48,.354,20,29,.690,7,38,27,2,2,9,20,NA,53,105,.505,13,39,.333,16,22,.727,16,62,33,6,5,8,21,2022,ORL
55,55,2022-02-06,,BOS,L,83,116,29,81,.358,5,26,.192,20,21,.952,8,40,17,8,5,17,16,NA,45,99,.455,13,46,.283,13,14,.929,16,55,29,9,6,14,17,2022,ORL
56,56,2022-02-08,@,POR,W,113,95,44,90,.489,19,38,.500,6,8,.750,10,50,34,8,7,14,18,NA,32,91,.352,11,38,.289,20,26,.769,17,50,21,9,5,13,12,2022,ORL
57,57,2022-02-11,@,UTA,L,99,114,37,84,.440,13,35,.371,12,16,.750,9,40,23,12,5,18,15,NA,40,89,.449,13,41,.317,21,24,.875,11,50,22,15,5,15,14,2022,ORL
58,58,2022-02-12,@,PHO,L,105,132,37,87,.425,15,41,.366,16,24,.667,4,44,25,2,2,14,9,NA,55,105,.524,15,34,.441,7,10,.700,7,52,40,8,2,7,19,2022,ORL
59,59,2022-02-14,@,DEN,L,111,121,40,91,.440,11,39,.282,20,23,.870,11,42,24,16,5,15,19,NA,42,88,.477,16,40,.400,21,23,.913,12,52,25,7,2,22,18,2022,ORL
60,60,2022-02-16,,ATL,L,109,130,42,98,.429,13,41,.317,12,13,.923,12,45,23,3,5,13,19,NA,45,90,.500,18,33,.545,22,28,.786,13,47,23,7,6,11,20,2022,ORL
61,61,2022-02-25,,HOU,W,119,111,42,83,.506,13,36,.361,22,29,.759,10,54,20,7,4,18,22,NA,44,94,.468,14,47,.298,9,20,.450,10,41,22,12,3,13,24,2022,ORL
62,62,2022-02-28,,IND,W,119,103,45,96,.469,12,37,.324,17,22,.773,10,39,29,10,2,10,19,NA,35,72,.486,15,36,.417,18,25,.720,4,39,22,4,6,21,18,2022,ORL
63,63,2022-03-02,,IND,L,114,122,44,97,.454,10,32,.313,16,20,.800,12,52,22,12,5,18,28,NA,41,94,.436,12,37,.324,28,35,.800,14,54,23,12,7,18,19,2022,ORL
64,64,2022-03-04,@,TOR,W,103,97,36,95,.379,11,37,.297,20,21,.952,12,55,24,5,4,8,18,NA,37,93,.398,12,37,.324,11,17,.647,12,54,22,2,8,12,18,2022,ORL
65,65,2022-03-05,@,MEM,L,96,124,37,86,.430,11,35,.314,11,16,.688,1,41,25,7,5,12,20,NA,46,92,.500,14,34,.412,18,27,.667,6,55,25,7,4,7,14,2022,ORL
66,66,2022-03-08,,PHO,L,99,102,35,92,.380,7,39,.179,22,25,.880,8,53,17,6,2,11,20,NA,35,92,.380,13,37,.351,19,23,.826,7,52,24,7,6,10,20,2022,ORL
67,67,2022-03-09,@,NOP,W,108,102,36,76,.474,14,37,.378,22,26,.846,7,45,25,4,1,18,20,NA,41,93,.441,7,31,.226,13,18,.722,10,41,23,11,2,11,22,2022,ORL
68,68,2022-03-11,,MIN,W,118,110,40,86,.465,16,40,.400,22,25,.880,10,49,31,4,3,12,11,NA,41,90,.456,15,45,.333,13,13,1.000,5,37,24,8,5,9,24,2022,ORL
69,69,2022-03-13,,PHI,L,114,116,41,91,.451,18,43,.419,14,20,.700,8,50,28,7,7,11,27,NA,35,92,.380,14,37,.378,32,37,.865,10,45,21,7,3,8,17,2022,ORL
70,70,2022-03-15,,BRK,L,108,150,36,95,.379,15,41,.366,21,27,.778,11,37,25,2,4,12,25,NA,53,88,.602,16,27,.593,28,34,.824,7,48,35,9,4,12,23,2022,ORL
71,71,2022-03-17,,DET,L,120,134,47,97,.485,11,30,.367,15,21,.714,10,45,24,3,4,13,21,NA,47,94,.500,20,43,.465,20,31,.645,10,45,34,11,3,7,21,2022,ORL
72,72,2022-03-20,,OKC,W,90,85,32,83,.386,7,31,.226,19,24,.792,15,60,22,11,4,21,17,NA,30,92,.326,13,48,.271,12,18,.667,14,47,19,13,7,16,24,2022,ORL
73,73,2022-03-22,,GSW,W,94,90,34,79,.430,10,36,.278,16,20,.800,6,39,25,9,6,13,14,NA,34,85,.400,11,32,.344,11,16,.688,12,48,21,6,3,18,23,2022,ORL
74,74,2022-03-23,@,OKC,L,102,118,36,93,.387,17,51,.333,13,16,.813,9,45,24,3,3,10,22,NA,38,79,.481,17,41,.415,25,30,.833,5,44,21,6,6,11,16,2022,ORL
75,75,2022-03-26,,SAC,L,110,114,45,106,.425,13,36,.361,7,7,1.000,15,57,27,9,3,12,20,NA,42,98,.429,11,36,.306,19,24,.792,18,59,24,4,4,14,12,2022,ORL
76,76,2022-03-28,@,CLE,L,101,107,42,87,.483,10,37,.270,7,13,.538,8,45,31,6,1,17,24,NA,37,83,.446,13,41,.317,20,23,.870,6,41,26,11,4,13,13,2022,ORL
77,77,2022-03-30,@,WAS,L,110,127,40,96,.417,11,34,.324,19,22,.864,11,42,21,8,5,11,23,NA,47,92,.511,13,36,.361,20,26,.769,12,51,35,5,8,11,15,2022,ORL
78,78,2022-04-01,,TOR,L,89,102,34,79,.430,11,35,.314,10,11,.909,9,45,24,6,4,20,14,NA,36,86,.419,13,42,.310,17,20,.850,10,41,21,13,3,10,14,2022,ORL
79,79,2022-04-03,,NYK,L,88,118,30,85,.353,12,44,.273,16,27,.593,8,40,18,5,2,11,12,NA,45,93,.484,15,44,.341,13,16,.813,13,56,29,9,7,9,22,2022,ORL
80,80,2022-04-05,,CLE,W,120,115,47,93,.505,16,35,.457,10,15,.667,8,43,31,9,8,7,19,NA,42,86,.488,16,36,.444,15,22,.682,9,47,25,6,4,11,11,2022,ORL
81,81,2022-04-07,@,CHO,L,101,128,38,95,.400,15,48,.313,10,13,.769,8,43,27,6,4,16,22,NA,48,92,.522,12,34,.353,20,27,.741,10,56,29,9,10,11,17,2022,ORL
82,82,2022-04-10,,MIA,W,125,111,45,91,.495,23,58,.397,12,14,.857,6,48,33,4,3,8,16,NA,40,94,.426,19,50,.380,12,16,.750,10,47,20,5,4,10,13,2022,ORL
1,1,2021-10-20,,DEN,L,98,110,36,87,.414,14,37,.378,12,17,.706,11,45,23,9,3,18,18,NA,44,83,.530,17,39,.436,5,9,.556,6,46,25,9,1,17,20,2022,PHO
2,2,2021-10-22,@,LAL,W,115,105,42,86,.488,10,32,.313,21,28,.750,7,47,31,8,2,11,22,NA,34,86,.395,15,34,.441,22,29,.759,12,46,25,7,3,16,26,2022,PHO
3,3,2021-10-23,@,POR,L,105,134,43,89,.483,9,28,.321,10,15,.667,7,38,27,6,1,14,19,NA,51,94,.543,21,50,.420,11,17,.647,8,48,24,8,5,9,15,2022,PHO
4,4,2021-10-27,,SAC,L,107,110,42,93,.452,6,22,.273,17,24,.708,14,56,23,6,6,11,16,NA,42,95,.442,15,38,.395,11,15,.733,8,40,28,7,6,11,20,2022,PHO
5,5,2021-10-30,,CLE,W,101,92,39,84,.464,6,26,.231,17,27,.630,8,52,27,12,3,13,14,NA,36,91,.396,14,44,.318,6,7,.857,10,47,21,8,3,19,21,2022,PHO
6,6,2021-11-02,,NOP,W,112,100,43,82,.524,9,26,.346,17,18,.944,7,42,32,8,4,19,17,NA,36,91,.396,13,39,.333,15,16,.938,14,43,21,17,6,17,16,2022,PHO
7,7,2021-11-04,,HOU,W,123,111,44,93,.473,14,31,.452,21,23,.913,13,46,29,12,8,12,24,NA,38,88,.432,11,32,.344,24,28,.857,7,43,25,4,4,18,21,2022,PHO
8,8,2021-11-06,,ATL,W,121,117,45,88,.511,14,43,.326,17,21,.810,5,42,26,8,6,12,22,NA,42,97,.433,13,33,.394,20,23,.870,14,50,18,3,1,12,16,2022,PHO
9,9,2021-11-08,@,SAC,W,109,104,44,93,.473,12,30,.400,9,11,.818,5,38,28,14,9,14,21,NA,37,82,.451,10,24,.417,20,26,.769,8,46,18,6,6,24,18,2022,PHO
10,10,2021-11-10,,POR,W,119,109,49,94,.521,11,28,.393,10,12,.833,9,39,27,6,6,10,20,NA,44,91,.484,7,30,.233,14,16,.875,14,46,24,5,2,14,21,2022,PHO
11,11,2021-11-12,@,MEM,W,119,94,46,94,.489,18,37,.486,9,9,1.000,4,46,28,12,6,12,22,NA,37,98,.378,7,33,.212,13,23,.565,17,59,19,6,6,15,16,2022,PHO
12,12,2021-11-14,@,HOU,W,115,89,42,97,.433,14,40,.350,17,20,.850,12,52,19,16,7,10,19,NA,35,85,.412,7,32,.219,12,18,.667,9,48,19,7,5,23,19,2022,PHO
13,13,2021-11-15,@,MIN,W,99,96,32,85,.376,7,31,.226,28,36,.778,14,52,21,8,2,15,23,NA,31,85,.365,13,44,.295,21,27,.778,13,54,18,8,3,18,28,2022,PHO
14,14,2021-11-17,,DAL,W,105,98,41,93,.441,13,39,.333,10,14,.714,8,49,27,6,7,7,9,NA,38,91,.418,16,32,.500,6,6,1.000,8,49,28,5,2,10,14,2022,PHO
15,15,2021-11-19,,DAL,W,112,104,44,85,.518,14,29,.483,10,14,.714,10,53,28,7,4,17,22,NA,37,90,.411,12,40,.300,18,23,.783,10,40,25,15,1,10,17,2022,PHO
16,16,2021-11-21,,DEN,W,126,97,46,87,.529,11,36,.306,23,26,.885,10,51,34,7,3,11,20,NA,33,90,.367,11,38,.289,20,28,.714,12,42,20,5,1,10,22,2022,PHO
17,17,2021-11-22,@,SAS,W,115,111,45,88,.511,12,27,.444,13,16,.813,11,44,25,10,0,15,18,NA,49,93,.527,5,20,.250,8,16,.500,11,44,23,9,4,15,16,2022,PHO
18,18,2021-11-24,@,CLE,W,120,115,45,86,.523,8,22,.364,22,28,.786,10,47,26,4,2,15,23,NA,43,97,.443,12,39,.308,17,25,.680,13,44,22,7,0,10,23,2022,PHO
19,19,2021-11-26,@,NYK,W,118,97,44,79,.557,13,28,.464,17,21,.810,1,35,28,10,2,11,19,NA,34,92,.370,12,39,.308,17,22,.773,17,51,13,7,1,15,20,2022,PHO
20,20,2021-11-27,@,BRK,W,113,107,41,92,.446,13,38,.342,18,21,.857,11,41,17,11,1,12,17,NA,42,84,.500,7,23,.304,16,21,.762,10,47,25,7,5,20,15,2022,PHO
21,21,2021-11-30,,GSW,W,104,96,43,87,.494,12,30,.400,6,11,.545,8,35,28,12,4,12,12,NA,36,86,.419,14,40,.350,10,14,.714,15,51,25,7,5,22,13,2022,PHO
22,22,2021-12-02,,DET,W,114,103,43,79,.544,12,21,.571,16,23,.696,6,44,23,8,3,14,20,NA,36,80,.450,11,27,.407,20,26,.769,7,36,20,6,6,12,22,2022,PHO
23,23,2021-12-03,@,GSW,L,96,118,31,81,.383,8,22,.364,26,35,.743,9,38,23,9,3,14,15,NA,45,92,.489,19,39,.487,9,12,.750,11,51,30,10,8,17,29,2022,PHO
24,24,2021-12-06,,SAS,W,108,104,43,94,.457,10,29,.345,12,18,.667,15,49,27,6,4,17,20,NA,40,93,.430,11,29,.379,13,19,.684,9,41,31,12,6,15,18,2022,PHO
25,25,2021-12-10,,BOS,W,111,90,43,96,.448,14,38,.368,11,11,1.000,14,53,25,4,9,12,21,NA,35,93,.376,4,26,.154,16,24,.667,15,46,13,7,6,13,17,2022,PHO
26,26,2021-12-13,@,LAC,L,95,111,36,96,.375,7,29,.241,16,19,.842,13,41,22,10,3,10,23,NA,43,78,.551,9,21,.429,16,23,.696,8,45,24,5,7,16,20,2022,PHO
27,27,2021-12-14,@,POR,W,111,107,44,93,.473,11,31,.355,12,15,.800,8,49,30,7,0,14,24,NA,40,96,.417,13,41,.317,14,22,.636,12,48,23,7,3,13,18,2022,PHO
28,28,2021-12-16,,WAS,W,118,98,42,79,.532,9,29,.310,25,26,.962,9,47,25,9,2,19,23,NA,40,82,.488,6,21,.286,12,19,.632,6,32,22,11,3,16,21,2022,PHO
29,29,2021-12-19,,CHO,W,137,106,54,95,.568,20,41,.488,9,13,.692,10,57,35,5,8,17,21,NA,36,100,.360,10,45,.222,24,28,.857,13,43,26,12,6,9,12,2022,PHO
30,30,2021-12-21,@,LAL,W,108,90,41,93,.441,12,41,.293,14,15,.933,8,53,29,11,4,16,18,NA,34,87,.391,7,35,.200,15,23,.652,6,47,14,9,3,14,18,2022,PHO
31,31,2021-12-23,,OKC,W,113,101,45,93,.484,15,39,.385,8,13,.615,11,52,26,9,8,13,22,NA,37,96,.385,11,41,.268,16,21,.762,11,44,17,6,5,12,10,2022,PHO
32,32,2021-12-25,,GSW,L,107,116,40,83,.482,11,30,.367,16,16,1.000,9,37,20,5,2,13,17,NA,42,85,.494,14,37,.378,18,21,.857,12,42,28,11,7,9,22,2022,PHO
33,33,2021-12-27,,MEM,L,113,114,41,90,.456,11,31,.355,20,23,.870,10,35,25,11,2,11,16,NA,45,88,.511,11,29,.379,13,17,.765,15,50,22,10,6,18,23,2022,PHO
34,34,2021-12-29,,OKC,W,115,97,41,89,.461,12,34,.353,21,28,.750,18,56,22,7,7,14,15,NA,38,96,.396,7,35,.200,14,16,.875,14,45,19,6,1,11,24,2022,PHO
35,35,2021-12-31,@,BOS,L,108,123,41,100,.410,11,35,.314,15,16,.938,15,37,20,10,2,9,21,NA,45,83,.542,10,27,.370,23,26,.885,13,51,28,6,7,17,18,2022,PHO
36,36,2022-01-02,@,CHO,W,133,99,52,103,.505,17,41,.415,12,12,1.000,14,53,36,15,4,17,21,NA,39,85,.459,9,35,.257,12,21,.571,5,34,27,10,9,17,15,2022,PHO
37,37,2022-01-04,@,NOP,W,123,110,46,85,.541,17,31,.548,14,20,.700,5,42,32,7,5,10,24,NA,36,89,.404,10,33,.303,28,32,.875,15,48,28,7,3,12,21,2022,PHO
38,38,2022-01-06,,LAC,W,106,89,44,107,.411,10,31,.323,8,10,.800,21,63,22,5,7,8,20,NA,31,86,.360,6,28,.214,21,25,.840,8,49,20,5,7,12,16,2022,PHO
39,39,2022-01-08,,MIA,L,100,123,30,79,.380,14,34,.412,26,29,.897,6,35,24,10,1,15,14,NA,44,88,.500,22,44,.500,13,15,.867,11,49,33,9,1,14,18,2022,PHO
40,40,2022-01-11,@,TOR,W,99,95,35,74,.473,11,32,.344,18,22,.818,10,39,25,10,2,20,23,NA,36,89,.404,8,37,.216,15,25,.600,22,47,15,11,3,14,20,2022,PHO
41,41,2022-01-14,@,IND,W,112,94,40,88,.455,11,28,.393,21,23,.913,12,51,24,8,6,14,18,NA,34,88,.386,13,43,.302,13,18,.722,9,42,20,9,7,12,20,2022,PHO
42,42,2022-01-16,@,DET,W,135,108,51,87,.586,11,27,.407,22,30,.733,11,51,30,4,7,14,26,NA,38,82,.463,9,25,.360,23,34,.676,5,32,25,6,2,9,20,2022,PHO
43,43,2022-01-17,@,SAS,W,121,107,49,95,.516,9,32,.281,14,20,.700,12,45,29,9,5,5,18,NA,41,92,.446,9,30,.300,16,22,.727,13,47,21,3,2,12,16,2022,PHO
44,44,2022-01-20,@,DAL,W,109,101,39,86,.453,8,36,.222,23,25,.920,5,40,25,13,1,7,21,NA,37,85,.435,11,37,.297,16,20,.800,10,50,19,1,3,19,22,2022,PHO
45,45,2022-01-22,,IND,W,113,103,47,96,.490,7,25,.280,12,14,.857,14,51,34,11,8,11,19,NA,37,84,.440,10,29,.345,19,27,.704,12,44,19,5,5,17,18,2022,PHO
46,46,2022-01-24,,UTA,W,115,109,47,99,.475,13,36,.361,8,15,.533,18,51,28,10,5,14,17,NA,40,81,.494,14,31,.452,15,22,.682,7,38,16,11,3,13,15,2022,PHO
47,47,2022-01-26,@,UTA,W,105,97,40,82,.488,7,18,.389,18,27,.667,9,44,14,6,7,7,20,NA,34,79,.430,12,30,.400,17,23,.739,8,39,20,6,4,14,28,2022,PHO
48,48,2022-01-28,,MIN,W,134,124,43,84,.512,20,39,.513,28,37,.757,10,49,36,4,2,12,22,NA,44,90,.489,14,39,.359,22,27,.815,8,38,20,7,6,7,26,2022,PHO
49,49,2022-01-30,,SAS,W,115,110,48,97,.495,11,32,.344,8,12,.667,11,46,31,6,5,8,12,NA,45,100,.450,13,37,.351,7,8,.875,11,43,27,6,3,11,15,2022,PHO
50,50,2022-02-01,,BRK,W,121,111,42,76,.553,11,31,.355,26,31,.839,7,37,26,8,4,15,19,NA,40,81,.494,16,40,.400,15,21,.714,6,33,25,7,1,11,27,2022,PHO
51,51,2022-02-03,@,ATL,L,115,124,46,88,.523,9,32,.281,14,18,.778,6,39,30,11,2,10,20,NA,44,84,.524,20,40,.500,16,22,.727,6,41,25,6,1,15,21,2022,PHO
52,52,2022-02-05,@,WAS,W,95,80,40,99,.404,8,31,.258,7,14,.500,20,64,26,6,7,10,16,NA,30,85,.353,5,24,.208,15,19,.789,8,42,14,8,4,9,17,2022,PHO
53,53,2022-02-07,@,CHI,W,127,124,49,90,.544,12,32,.375,17,19,.895,10,44,31,5,5,10,23,NA,43,90,.478,10,26,.385,28,31,.903,11,40,18,7,2,9,18,2022,PHO
54,54,2022-02-08,@,PHI,W,114,109,43,95,.453,6,26,.231,22,24,.917,11,48,27,7,5,8,15,NA,41,89,.461,10,32,.313,17,18,.944,6,44,24,7,4,14,22,2022,PHO
55,55,2022-02-10,,MIL,W,131,107,51,90,.567,9,30,.300,20,29,.690,9,43,35,10,2,8,22,NA,40,88,.455,10,38,.263,17,25,.680,11,39,18,6,4,14,22,2022,PHO
56,56,2022-02-12,,ORL,W,132,105,55,105,.524,15,34,.441,7,10,.700,7,52,40,8,2,7,19,NA,37,87,.425,15,41,.366,16,24,.667,4,44,25,2,2,14,9,2022,PHO
57,57,2022-02-15,,LAC,W,103,96,44,90,.489,8,25,.320,7,10,.700,12,52,30,9,4,16,12,NA,40,97,.412,10,35,.286,6,9,.667,13,46,26,11,9,13,12,2022,PHO
58,58,2022-02-16,,HOU,W,124,121,44,86,.512,7,24,.292,29,36,.806,7,42,27,10,7,11,20,NA,42,97,.433,13,44,.295,24,28,.857,13,49,23,5,5,16,27,2022,PHO
59,59,2022-02-24,@,OKC,W,124,104,46,86,.535,13,34,.382,19,21,.905,3,43,32,14,6,15,12,NA,44,93,.473,6,31,.194,10,11,.909,7,42,22,10,4,16,19,2022,PHO
60,60,2022-02-25,,NOP,L,102,117,36,82,.439,12,40,.300,18,24,.750,7,37,23,6,8,14,27,NA,38,87,.437,8,29,.276,33,41,.805,16,53,21,10,4,10,18,2022,PHO
61,61,2022-02-27,,UTA,L,114,118,44,86,.512,13,28,.464,13,16,.813,10,36,24,7,5,9,19,NA,44,94,.468,17,40,.425,13,20,.650,14,41,23,7,6,9,16,2022,PHO
62,62,2022-03-02,,POR,W,120,90,40,80,.500,14,36,.389,26,31,.839,7,46,32,14,6,14,21,NA,30,78,.385,11,31,.355,19,25,.760,5,35,22,10,2,18,23,2022,PHO
63,63,2022-03-04,,NYK,W,115,114,38,85,.447,17,34,.500,22,27,.815,3,33,28,7,3,9,22,NA,40,86,.465,13,29,.448,21,30,.700,12,49,23,7,5,12,22,2022,PHO
64,64,2022-03-06,@,MIL,L,122,132,50,93,.538,14,31,.452,8,11,.727,6,27,33,8,4,11,20,NA,47,87,.540,15,32,.469,23,29,.793,14,48,31,9,6,14,19,2022,PHO
65,65,2022-03-08,@,ORL,W,102,99,35,92,.380,13,37,.351,19,23,.826,7,52,24,7,6,10,20,NA,35,92,.380,7,39,.179,22,25,.880,8,53,17,6,2,11,20,2022,PHO
66,66,2022-03-09,@,MIA,W,111,90,45,99,.455,11,37,.297,10,10,1.000,14,55,26,8,5,14,18,NA,35,88,.398,10,33,.303,10,13,.769,6,38,27,8,5,14,9,2022,PHO
67,67,2022-03-11,,TOR,L,112,117,44,88,.500,11,36,.306,13,17,.765,5,40,27,7,8,16,23,NA,42,94,.447,14,32,.438,19,21,.905,12,48,19,11,4,15,19,2022,PHO
68,68,2022-03-13,,LAL,W,140,111,58,102,.569,12,33,.364,12,14,.857,14,51,36,12,5,9,24,NA,36,81,.444,16,40,.400,23,31,.742,7,37,24,4,2,19,14,2022,PHO
69,69,2022-03-15,@,NOP,W,131,115,49,90,.544,18,34,.529,15,15,1.000,6,34,35,9,2,8,22,NA,43,86,.500,12,34,.353,17,24,.708,13,45,29,7,4,17,19,2022,PHO
