Rk,G,Date,H_A,Opp_Team,W_L,Tm,Opp,FG,FGA,FGper,3P,3PA,3Pper,FT,FTA,FTper,ORB,TRB,AST,STL,BLK,TOV,PF,Blank,Opp_FG,Opp_FGA,Opp_FGper,Opp_3P,Opp_3PA,Opp_3Pper,Opp_FT,Opp_FTA,Opp_FTper,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,nba_season,gamelog_team
58,58,2022-02-13,,ATL,W,105,95,36,85,.424,11,38,.289,22,27,.815,12,54,21,5,6,12,15,NA,34,93,.366,12,38,.316,15,15,1.000,11,48,18,6,3,13,22,2022,BOS
59,59,2022-02-15,@,PHI,W,135,87,46,82,.561,25,45,.556,18,22,.818,7,51,28,2,10,9,25,NA,23,80,.288,8,32,.250,33,39,.846,12,40,17,7,2,9,17,2022,BOS
60,60,2022-02-16,,DET,L,111,112,42,77,.545,13,32,.406,14,18,.778,2,30,29,8,6,15,14,NA,43,93,.462,16,30,.533,10,13,.769,18,47,28,9,1,16,17,2022,BOS
61,61,2022-02-24,@,BRK,W,129,106,46,85,.541,17,42,.405,20,27,.741,8,48,28,9,3,13,20,NA,39,94,.415,7,29,.241,21,28,.750,8,38,25,8,4,10,16,2022,BOS
62,62,2022-02-26,@,DET,W,113,104,42,88,.477,10,26,.385,19,21,.905,10,37,31,5,6,10,21,NA,39,87,.448,7,27,.259,19,22,.864,10,41,18,4,4,14,22,2022,BOS
63,63,2022-02-27,@,IND,L,107,128,39,91,.429,12,43,.279,17,20,.850,12,40,25,5,9,10,13,NA,47,90,.522,17,33,.515,17,20,.850,10,49,25,7,5,14,23,2022,BOS
64,64,2022-03-01,,ATL,W,107,98,39,83,.470,11,35,.314,18,19,.947,11,47,27,4,8,12,20,NA,36,83,.434,7,31,.226,19,24,.792,5,37,15,8,4,9,20,2022,BOS
65,65,2022-03-03,,MEM,W,120,107,46,89,.517,16,37,.432,12,15,.800,15,51,33,4,7,14,15,NA,42,99,.424,13,40,.325,10,13,.769,17,44,24,10,4,7,16,2022,BOS
66,66,2022-03-06,,BRK,W,126,120,40,83,.482,17,36,.472,29,38,.763,10,37,25,9,7,10,19,NA,45,89,.506,12,27,.444,18,20,.900,12,45,24,6,4,15,26,2022,BOS
67,67,2022-03-09,@,CHO,W,115,101,46,93,.495,12,37,.324,11,14,.786,16,47,30,10,8,11,20,NA,36,85,.424,8,33,.242,21,28,.750,15,46,18,8,7,16,15,2022,BOS
68,68,2022-03-11,,DET,W,114,103,42,90,.467,6,32,.188,24,30,.800,13,47,23,10,3,9,19,NA,35,83,.422,10,34,.294,23,24,.958,11,42,21,4,4,14,22,2022,BOS
69,69,2022-03-13,,DAL,L,92,95,33,88,.375,9,37,.243,17,19,.895,11,45,16,8,3,11,12,NA,33,74,.446,15,37,.405,14,19,.737,4,42,20,7,5,17,16,2022,BOS
70,70,2022-03-16,@,GSW,W,110,88,38,81,.469,15,40,.375,19,22,.864,8,53,23,4,4,10,15,NA,32,86,.372,11,48,.229,13,16,.813,7,38,19,8,4,8,21,2022,BOS
71,71,2022-03-18,@,SAC,W,126,97,46,82,.561,22,40,.550,12,17,.706,6,43,33,11,1,13,23,NA,33,79,.418,13,36,.361,18,24,.750,8,37,23,5,6,16,14,2022,BOS
72,72,2022-03-20,@,DEN,W,124,104,47,82,.573,19,40,.475,11,11,1.000,5,38,29,4,6,8,18,NA,35,87,.402,14,39,.359,20,25,.800,13,41,22,4,3,10,15,2022,BOS
73,73,2022-03-21,@,OKC,W,132,123,44,86,.512,15,40,.375,29,34,.853,6,42,22,8,7,8,18,NA,48,93,.516,17,37,.459,10,14,.714,10,42,23,5,4,11,26,2022,BOS
74,74,2022-03-23,,UTA,W,125,97,50,84,.595,19,36,.528,6,7,.857,8,39,37,8,10,12,20,NA,35,88,.398,8,36,.222,19,21,.905,16,40,13,8,1,14,14,2022,BOS
75,75,2022-03-27,,MIN,W,134,112,49,87,.563,17,39,.436,19,21,.905,10,45,27,7,5,13,20,NA,45,84,.536,14,32,.438,8,12,.667,4,30,26,7,3,14,21,2022,BOS
76,76,2022-03-28,@,TOR,L,112,115,39,95,.411,12,40,.300,22,28,.786,16,57,23,5,7,16,15,NA,46,106,.434,10,39,.256,13,18,.722,16,52,16,10,11,10,28,2022,BOS
77,77,2022-03-30,,MIA,L,98,106,35,85,.412,11,37,.297,17,23,.739,8,44,27,9,1,17,22,NA,38,79,.481,13,34,.382,17,25,.680,4,42,27,9,6,15,23,2022,BOS
78,78,2022-04-01,,IND,W,128,123,45,83,.542,12,33,.364,26,28,.929,11,40,29,7,4,15,19,NA,42,81,.519,17,36,.472,22,23,.957,8,30,25,9,3,16,30,2022,BOS
79,79,2022-04-03,,WAS,W,144,102,56,91,.615,23,44,.523,9,13,.692,7,39,39,6,5,7,20,NA,38,82,.463,8,21,.381,18,20,.900,7,32,21,4,2,12,14,2022,BOS
80,80,2022-04-06,@,CHI,W,117,94,43,88,.489,17,37,.459,14,22,.636,8,42,29,11,6,11,18,NA,35,80,.438,7,23,.304,17,23,.739,7,40,19,7,4,17,22,2022,BOS
81,81,2022-04-07,@,MIL,L,121,127,43,87,.494,21,50,.420,14,19,.737,8,44,30,8,4,16,15,NA,49,97,.505,14,38,.368,15,21,.714,14,48,27,13,5,11,19,2022,BOS
82,82,2022-04-10,@,MEM,W,139,110,54,99,.545,18,48,.375,13,13,1.000,14,56,34,5,2,15,20,NA,39,102,.382,15,47,.319,17,27,.630,19,45,27,11,6,10,16,2022,BOS
1,1,2021-10-19,,BRK,W,127,104,48,105,.457,17,45,.378,14,18,.778,13,54,25,8,9,7,19,NA,37,84,.440,17,32,.531,13,23,.565,5,44,19,3,9,12,17,2022,MIL
2,2,2021-10-21,@,MIA,L,95,137,32,84,.381,12,42,.286,19,29,.655,5,38,19,6,0,15,26,NA,51,96,.531,15,35,.429,20,31,.645,11,58,28,8,2,11,26,2022,MIL
3,3,2021-10-23,@,SAS,W,121,111,44,83,.530,15,35,.429,18,22,.818,7,44,21,6,5,20,15,NA,48,99,.485,10,39,.256,5,6,.833,10,38,29,10,4,12,18,2022,MIL
4,4,2021-10-25,@,IND,W,119,109,41,85,.482,11,32,.344,26,31,.839,7,42,24,13,6,13,19,NA,40,90,.444,14,36,.389,15,17,.882,12,47,23,6,1,19,24,2022,MIL
5,5,2021-10-27,,MIN,L,108,113,39,95,.411,14,51,.275,16,21,.762,13,43,22,10,3,8,18,NA,43,91,.473,13,45,.289,14,17,.824,10,49,29,5,4,17,20,2022,MIL
6,6,2021-10-30,,SAS,L,93,102,36,89,.404,10,39,.256,11,16,.688,9,52,20,6,2,19,18,NA,39,95,.411,7,31,.226,17,24,.708,8,49,28,12,3,9,13,2022,MIL
7,7,2021-10-31,,UTA,L,95,107,39,96,.406,12,41,.293,5,6,.833,13,44,16,7,3,9,22,NA,35,75,.467,12,37,.324,25,27,.926,7,44,13,6,10,12,10,2022,MIL
8,8,2021-11-02,@,DET,W,117,89,42,84,.500,17,37,.459,16,21,.762,9,52,28,7,8,15,23,NA,30,93,.323,8,47,.170,21,30,.700,14,43,21,5,5,14,22,2022,MIL
9,9,2021-11-05,,NYK,L,98,113,33,82,.402,16,43,.372,16,21,.762,7,37,19,5,5,15,20,NA,41,96,.427,10,40,.250,21,26,.808,20,59,16,12,4,14,17,2022,MIL
10,10,2021-11-07,@,WAS,L,94,101,37,94,.394,10,36,.278,10,18,.556,16,49,17,14,3,12,10,NA,41,81,.506,11,27,.407,8,13,.615,4,42,24,8,8,19,16,2022,MIL
11,11,2021-11-09,@,PHI,W,118,109,44,95,.463,15,39,.385,15,21,.714,12,52,21,5,6,8,10,NA,42,103,.408,14,43,.326,11,12,.917,13,46,21,7,7,7,20,2022,MIL
12,12,2021-11-10,@,NYK,W,112,100,40,90,.444,26,50,.520,6,9,.667,13,50,29,4,4,14,17,NA,36,83,.434,16,37,.432,12,17,.706,7,38,19,9,10,10,17,2022,MIL
13,13,2021-11-12,@,BOS,L,113,122,44,98,.449,16,47,.340,9,11,.818,12,39,23,7,3,11,19,NA,47,96,.490,12,41,.293,16,18,.889,16,53,22,5,7,16,12,2022,MIL
14,14,2021-11-14,@,ATL,L,100,120,38,84,.452,14,41,.341,10,16,.625,4,30,24,8,3,11,17,NA,47,97,.485,15,35,.429,11,13,.846,15,51,21,6,1,12,19,2022,MIL
15,15,2021-11-17,,LAL,W,109,102,40,87,.460,12,37,.324,17,24,.708,9,52,22,9,4,15,10,NA,40,96,.417,12,43,.279,10,12,.833,11,48,24,8,4,13,19,2022,MIL
16,16,2021-11-19,,OKC,W,96,89,31,83,.373,12,41,.293,22,26,.846,6,53,21,9,5,12,18,NA,32,91,.352,12,48,.250,13,21,.619,11,53,17,6,4,12,22,2022,MIL
17,17,2021-11-20,,ORL,W,117,108,37,82,.451,19,40,.475,24,37,.649,11,60,25,6,5,14,18,NA,39,98,.398,19,51,.373,11,14,.786,6,39,26,5,3,10,24,2022,MIL
18,18,2021-11-22,,ORL,W,123,92,44,94,.468,18,45,.400,17,24,.708,13,55,28,10,7,12,22,NA,34,93,.366,11,41,.268,13,18,.722,15,47,16,6,4,15,17,2022,MIL
19,19,2021-11-24,,DET,W,114,93,42,87,.483,15,36,.417,15,17,.882,10,56,23,5,6,15,18,NA,34,95,.358,11,45,.244,14,19,.737,9,44,16,7,1,8,18,2022,MIL
20,20,2021-11-26,@,DEN,W,120,109,46,73,.630,16,33,.485,12,20,.600,5,44,24,3,7,19,14,NA,40,92,.435,17,47,.362,12,14,.857,9,31,24,9,2,8,19,2022,MIL
21,21,2021-11-28,@,IND,W,118,100,46,90,.511,8,35,.229,18,22,.818,13,52,27,7,3,13,14,NA,38,92,.413,12,45,.267,12,16,.750,12,45,21,6,2,13,21,2022,MIL
22,22,2021-12-01,,CHO,W,127,125,46,94,.489,14,36,.389,21,26,.808,9,45,29,10,1,13,20,NA,43,87,.494,21,51,.412,18,21,.857,3,36,30,8,9,16,21,2022,MIL
23,23,2021-12-02,@,TOR,L,93,97,32,85,.376,11,31,.355,18,25,.720,16,47,16,4,4,13,12,NA,37,88,.420,14,40,.350,9,14,.643,15,47,23,10,7,13,24,2022,MIL
24,24,2021-12-04,,MIA,W,124,102,44,98,.449,18,50,.360,18,20,.900,19,57,32,3,6,14,22,NA,34,84,.405,17,43,.395,17,24,.708,9,39,29,6,5,14,17,2022,MIL
25,25,2021-12-06,,CLE,W,112,104,40,86,.465,13,32,.406,19,24,.792,8,53,21,7,5,16,20,NA,35,90,.389,15,46,.326,19,20,.950,7,39,27,8,4,9,17,2022,MIL
26,26,2021-12-08,@,MIA,L,104,113,36,85,.424,12,39,.308,20,27,.741,12,41,18,11,4,18,20,NA,40,77,.519,22,47,.468,11,12,.917,6,42,32,6,6,20,23,2022,MIL
27,27,2021-12-10,@,HOU,W,123,114,42,83,.506,15,39,.385,24,32,.750,13,48,19,11,8,15,21,NA,42,89,.472,19,46,.413,11,20,.550,12,40,30,9,4,16,28,2022,MIL
